budget,method_a,method_b,avg_layer_jaccard
128,attention,attention,1.0
128,attention,attention_l1,0.5469670882809428
128,attention,attention_l2,0.6477249626628226
128,attention,compactor,0.34643151661124466
128,attention,l1_leverage,0.5439781346381539
128,attention,l1_prefill_only,0.49707398512936657
128,attention,l2_key_prefill_only,0.5132650497122432
128,attention,l2_leverage,0.5721956686396599
128,attention,l2_prefill_only,0.49433443375601555
128,attention,pyramidkv,0.41115227880016275
128,attention,random,0.3489791382866868
128,attention,recency,0.5819455485031665
128,attention,sink_recent,0.5927895267928498
128,attention,snapkv,0.41651401155441276
128,attention_l1,attention,0.5469670882809428
128,attention_l1,attention_l1,1.0
128,attention_l1,attention_l2,0.6127961076916963
128,attention_l1,compactor,0.3176486277679122
128,attention_l1,l1_leverage,0.5671298336889018
128,attention_l1,l1_prefill_only,0.48751729585038733
128,attention_l1,l2_key_prefill_only,0.4599389430220632
128,attention_l1,l2_leverage,0.45396152124583905
128,attention_l1,l2_prefill_only,0.47678790969287793
128,attention_l1,pyramidkv,0.3743807466619708
128,attention_l1,random,0.2781598540328251
128,attention_l1,recency,0.4460103127780673
128,attention_l1,sink_recent,0.46591280160119675
128,attention_l1,snapkv,0.38168585440681146
128,attention_l2,attention,0.6477249626628226
128,attention_l2,attention_l1,0.6127961076916963
128,attention_l2,attention_l2,1.0
128,attention_l2,compactor,0.3463808666365867
128,attention_l2,l1_leverage,0.4907197538639794
128,attention_l2,l1_prefill_only,0.4501363523631008
128,attention_l2,l2_key_prefill_only,0.46747036222935134
128,attention_l2,l2_leverage,0.5144505747626201
128,attention_l2,l2_prefill_only,0.4568276823783537
128,attention_l2,pyramidkv,0.3971095164452401
128,attention_l2,random,0.3141890532715026
128,attention_l2,recency,0.5151395236279506
128,attention_l2,sink_recent,0.5377050866913725
128,attention_l2,snapkv,0.403227103411506
128,compactor,attention,0.34643151661124466
128,compactor,attention_l1,0.3176486277679122
128,compactor,attention_l2,0.3463808666365867
128,compactor,compactor,1.0
128,compactor,l1_leverage,0.3045163784414521
128,compactor,l1_prefill_only,0.26485042726397534
128,compactor,l2_key_prefill_only,0.28100846326678347
128,compactor,l2_leverage,0.34375605462463127
128,compactor,l2_prefill_only,0.2666824180729823
128,compactor,pyramidkv,0.4657662078593014
128,compactor,random,0.20616327401479453
128,compactor,recency,0.35557454134833144
128,compactor,sink_recent,0.35557454134833144
128,compactor,snapkv,0.4749309737945877
128,l1_leverage,attention,0.5439781346381539
128,l1_leverage,attention_l1,0.5671298336889018
128,l1_leverage,attention_l2,0.4907197538639794
128,l1_leverage,compactor,0.3045163784414521
128,l1_leverage,l1_leverage,1.0
128,l1_leverage,l1_prefill_only,0.6553109039987203
128,l1_leverage,l2_key_prefill_only,0.5498866932017884
128,l1_leverage,l2_leverage,0.5772421143109929
128,l1_leverage,l2_prefill_only,0.6019687797773766
128,l1_leverage,pyramidkv,0.36977791313922886
128,l1_leverage,random,0.34503094868643125
128,l1_leverage,recency,0.5712359835625276
128,l1_leverage,sink_recent,0.5929113198011748
128,l1_leverage,snapkv,0.3764087125973059
128,l1_prefill_only,attention,0.49707398512936657
128,l1_prefill_only,attention_l1,0.48751729585038733
128,l1_prefill_only,attention_l2,0.4501363523631008
128,l1_prefill_only,compactor,0.26485042726397534
128,l1_prefill_only,l1_leverage,0.6553109039987203
128,l1_prefill_only,l1_prefill_only,1.0
128,l1_prefill_only,l2_key_prefill_only,0.7114434493343539
128,l1_prefill_only,l2_leverage,0.44590318728073935
128,l1_prefill_only,l2_prefill_only,0.8024120471542862
128,l1_prefill_only,pyramidkv,0.3324340769547191
128,l1_prefill_only,random,0.25933595601832543
128,l1_prefill_only,recency,0.347368421052634
128,l1_prefill_only,sink_recent,0.3763440860215043
128,l1_prefill_only,snapkv,0.34262462510344355
128,l2_key_prefill_only,attention,0.5132650497122432
128,l2_key_prefill_only,attention_l1,0.4599389430220632
128,l2_key_prefill_only,attention_l2,0.46747036222935134
128,l2_key_prefill_only,compactor,0.28100846326678347
128,l2_key_prefill_only,l1_leverage,0.5498866932017884
128,l2_key_prefill_only,l1_prefill_only,0.7114434493343539
128,l2_key_prefill_only,l2_key_prefill_only,1.0
128,l2_key_prefill_only,l2_leverage,0.44603061862298926
128,l2_key_prefill_only,l2_prefill_only,0.7392331006183246
128,l2_key_prefill_only,pyramidkv,0.3456493198857722
128,l2_key_prefill_only,random,0.2596746534441904
128,l2_key_prefill_only,recency,0.347368421052634
128,l2_key_prefill_only,sink_recent,0.3763440860215043
128,l2_key_prefill_only,snapkv,0.35659535473528786
128,l2_leverage,attention,0.5721956686396599
128,l2_leverage,attention_l1,0.45396152124583905
128,l2_leverage,attention_l2,0.5144505747626201
128,l2_leverage,compactor,0.34375605462463127
128,l2_leverage,l1_leverage,0.5772421143109929
128,l2_leverage,l1_prefill_only,0.44590318728073935
128,l2_leverage,l2_key_prefill_only,0.44603061862298926
128,l2_leverage,l2_leverage,1.0
128,l2_leverage,l2_prefill_only,0.4502033594370543
128,l2_leverage,pyramidkv,0.400377714688922
128,l2_leverage,random,0.3901298313340968
128,l2_leverage,recency,0.6975287395681165
128,l2_leverage,sink_recent,0.7257988755485619
128,l2_leverage,snapkv,0.40461328259473667
128,l2_prefill_only,attention,0.49433443375601555
128,l2_prefill_only,attention_l1,0.47678790969287793
128,l2_prefill_only,attention_l2,0.4568276823783537
128,l2_prefill_only,compactor,0.2666824180729823
128,l2_prefill_only,l1_leverage,0.6019687797773766
128,l2_prefill_only,l1_prefill_only,0.8024120471542862
128,l2_prefill_only,l2_key_prefill_only,0.7392331006183246
128,l2_prefill_only,l2_leverage,0.4502033594370543
128,l2_prefill_only,l2_prefill_only,1.0
128,l2_prefill_only,pyramidkv,0.33940617602225415
128,l2_prefill_only,random,0.2594203623966604
128,l2_prefill_only,recency,0.347368421052634
128,l2_prefill_only,sink_recent,0.3763440860215043
128,l2_prefill_only,snapkv,0.34932405331404087
128,pyramidkv,attention,0.41115227880016275
128,pyramidkv,attention_l1,0.3743807466619708
128,pyramidkv,attention_l2,0.3971095164452401
128,pyramidkv,compactor,0.4657662078593014
128,pyramidkv,l1_leverage,0.36977791313922886
128,pyramidkv,l1_prefill_only,0.3324340769547191
128,pyramidkv,l2_key_prefill_only,0.3456493198857722
128,pyramidkv,l2_leverage,0.400377714688922
128,pyramidkv,l2_prefill_only,0.33940617602225415
128,pyramidkv,pyramidkv,1.0
128,pyramidkv,random,0.23242753105283082
128,pyramidkv,recency,0.4110360029961561
128,pyramidkv,sink_recent,0.40924176177938093
128,pyramidkv,snapkv,0.8527443721670891
128,random,attention,0.3489791382866868
128,random,attention_l1,0.2781598540328251
128,random,attention_l2,0.3141890532715026
128,random,compactor,0.20616327401479453
128,random,l1_leverage,0.34503094868643125
128,random,l1_prefill_only,0.25933595601832543
128,random,l2_key_prefill_only,0.2596746534441904
128,random,l2_leverage,0.3901298313340968
128,random,l2_prefill_only,0.2594203623966604
128,random,pyramidkv,0.23242753105283082
128,random,random,1.0
128,random,recency,0.4684578453150672
128,random,sink_recent,0.4531023632024185
128,random,snapkv,0.23548018573337487
128,recency,attention,0.5819455485031665
128,recency,attention_l1,0.4460103127780673
128,recency,attention_l2,0.5151395236279506
128,recency,compactor,0.35557454134833144
128,recency,l1_leverage,0.5712359835625276
128,recency,l1_prefill_only,0.347368421052634
128,recency,l2_key_prefill_only,0.347368421052634
128,recency,l2_leverage,0.6975287395681165
128,recency,l2_prefill_only,0.347368421052634
128,recency,pyramidkv,0.4110360029961561
128,recency,random,0.4684578453150672
128,recency,recency,1.0
128,recency,sink_recent,0.9393939393939393
128,recency,snapkv,0.4148916237484573
128,sink_recent,attention,0.5927895267928498
128,sink_recent,attention_l1,0.46591280160119675
128,sink_recent,attention_l2,0.5377050866913725
128,sink_recent,compactor,0.35557454134833144
128,sink_recent,l1_leverage,0.5929113198011748
128,sink_recent,l1_prefill_only,0.3763440860215043
128,sink_recent,l2_key_prefill_only,0.3763440860215043
128,sink_recent,l2_leverage,0.7257988755485619
128,sink_recent,l2_prefill_only,0.3763440860215043
128,sink_recent,pyramidkv,0.40924176177938093
128,sink_recent,random,0.4531023632024185
128,sink_recent,recency,0.9393939393939393
128,sink_recent,sink_recent,1.0
128,sink_recent,snapkv,0.4125526516403005
128,snapkv,attention,0.41651401155441276
128,snapkv,attention_l1,0.38168585440681146
128,snapkv,attention_l2,0.403227103411506
128,snapkv,compactor,0.4749309737945877
128,snapkv,l1_leverage,0.3764087125973059
128,snapkv,l1_prefill_only,0.34262462510344355
128,snapkv,l2_key_prefill_only,0.35659535473528786
128,snapkv,l2_leverage,0.40461328259473667
128,snapkv,l2_prefill_only,0.34932405331404087
128,snapkv,pyramidkv,0.8527443721670891
128,snapkv,random,0.23548018573337487
128,snapkv,recency,0.4148916237484573
128,snapkv,sink_recent,0.4125526516403005
128,snapkv,snapkv,1.0
256,attention,attention,1.0
256,attention,attention_l1,0.6538147516362756
256,attention,attention_l2,0.6466381215651299
256,attention,compactor,0.28475611572018567
256,attention,l1_leverage,0.5745506603736311
256,attention,l1_prefill_only,0.3732170952554255
256,attention,l2_key_prefill_only,0.3957476766737276
256,attention,l2_leverage,0.5365914294170455
256,attention,l2_prefill_only,0.3958522959528229
256,attention,pyramidkv,0.4946664890230822
256,attention,random,0.25056265042297
256,attention,recency,0.6218614990724649
256,attention,sink_recent,0.6407860332792974
256,attention,snapkv,0.4742484569098497
256,attention_l1,attention,0.6538147516362756
256,attention_l1,attention_l1,1.0
256,attention_l1,attention_l2,0.7821403799837755
256,attention_l1,compactor,0.2613784107887127
256,attention_l1,l1_leverage,0.8431171939482242
256,attention_l1,l1_prefill_only,0.5611790658723596
256,attention_l1,l2_key_prefill_only,0.5260312634000669
256,attention_l1,l2_leverage,0.6606463359052396
256,attention_l1,l2_prefill_only,0.5642360385079974
256,attention_l1,pyramidkv,0.4271863255793556
256,attention_l1,random,0.24677293123059915
256,attention_l1,recency,0.4569390624726587
256,attention_l1,sink_recent,0.473682723957397
256,attention_l1,snapkv,0.4170884174249873
256,attention_l2,attention,0.6466381215651299
256,attention_l2,attention_l1,0.7821403799837755
256,attention_l2,attention_l2,1.0
256,attention_l2,compactor,0.261216767783206
256,attention_l2,l1_leverage,0.698513214220485
256,attention_l2,l1_prefill_only,0.51131744131983
256,attention_l2,l2_key_prefill_only,0.5149026107857819
256,attention_l2,l2_leverage,0.7186195914971557
256,attention_l2,l2_prefill_only,0.5675904443455817
256,attention_l2,pyramidkv,0.4231803378105602
256,attention_l2,random,0.23609433972064034
256,attention_l2,recency,0.46318606390608463
256,attention_l2,sink_recent,0.480096496007704
256,attention_l2,snapkv,0.4186688288827037
256,compactor,attention,0.28475611572018567
256,compactor,attention_l1,0.2613784107887127
256,compactor,attention_l2,0.261216767783206
256,compactor,compactor,1.0
256,compactor,l1_leverage,0.23667765749545283
256,compactor,l1_prefill_only,0.17120435254641367
256,compactor,l2_key_prefill_only,0.1800903972227228
256,compactor,l2_leverage,0.22919558516241498
256,compactor,l2_prefill_only,0.174764209217842
256,compactor,pyramidkv,0.23836677888057117
256,compactor,random,0.12470916181708647
256,compactor,recency,0.2512012416581999
256,compactor,sink_recent,0.2572454315792019
256,compactor,snapkv,0.24094557843944148
256,l1_leverage,attention,0.5745506603736311
256,l1_leverage,attention_l1,0.8431171939482242
256,l1_leverage,attention_l2,0.698513214220485
256,l1_leverage,compactor,0.23667765749545283
256,l1_leverage,l1_leverage,1.0
256,l1_leverage,l1_prefill_only,0.6565207106724983
256,l1_leverage,l2_key_prefill_only,0.5296806546473185
256,l1_leverage,l2_leverage,0.6569718743782064
256,l1_leverage,l2_prefill_only,0.5929457491243353
256,l1_leverage,pyramidkv,0.38740896643742645
256,l1_leverage,random,0.23454442542889906
256,l1_leverage,recency,0.40053894220966846
256,l1_leverage,sink_recent,0.4160216251112169
256,l1_leverage,snapkv,0.3847481246323088
256,l1_prefill_only,attention,0.3732170952554255
256,l1_prefill_only,attention_l1,0.5611790658723596
256,l1_prefill_only,attention_l2,0.51131744131983
256,l1_prefill_only,compactor,0.17120435254641367
256,l1_prefill_only,l1_leverage,0.6565207106724983
256,l1_prefill_only,l1_prefill_only,1.0
256,l1_prefill_only,l2_key_prefill_only,0.6718266690917679
256,l1_prefill_only,l2_leverage,0.5443990584721277
256,l1_prefill_only,l2_prefill_only,0.7893480279440123
256,l1_prefill_only,pyramidkv,0.29542265080949887
256,l1_prefill_only,random,0.1347794462015236
256,l1_prefill_only,recency,0.2249354852170902
256,l1_prefill_only,sink_recent,0.23671957717900208
256,l1_prefill_only,snapkv,0.3008503190957437
256,l2_key_prefill_only,attention,0.3957476766737276
256,l2_key_prefill_only,attention_l1,0.5260312634000669
256,l2_key_prefill_only,attention_l2,0.5149026107857819
256,l2_key_prefill_only,compactor,0.1800903972227228
256,l2_key_prefill_only,l1_leverage,0.5296806546473185
256,l2_key_prefill_only,l1_prefill_only,0.6718266690917679
256,l2_key_prefill_only,l2_key_prefill_only,1.0
256,l2_key_prefill_only,l2_leverage,0.5246581973101684
256,l2_key_prefill_only,l2_prefill_only,0.7279090423943393
256,l2_key_prefill_only,pyramidkv,0.3120390256779205
256,l2_key_prefill_only,random,0.13466490477588675
256,l2_key_prefill_only,recency,0.2413851339140521
256,l2_key_prefill_only,sink_recent,0.2533578005653938
256,l2_key_prefill_only,snapkv,0.3222617350858921
256,l2_leverage,attention,0.5365914294170455
256,l2_leverage,attention_l1,0.6606463359052396
