accuracy,avg_evidence_recall,avg_official_score,avg_ppl,avg_primary_score,avg_tokens_per_second,budget,contains_ground_truth,method,n,official_accuracy
0.0,0.0,0.0,64.19925717828986,0.0,13.398301561808953,128,0.0,attention,20,0.0
0.8,0.0,80.0,8.435986775478456,80.0,13.925827228415965,256,0.8,attention,20,0.8
1.0,0.0,100.0,5.569055687001999,100.0,12.676217249421345,512,1.0,attention,20,1.0
1.0,0.0,100.0,5.09010883975459,100.0,13.982128667655365,128,1.0,attention_l1,20,1.0
1.0,0.0,100.0,5.591557412501476,100.0,13.167545186860867,256,1.0,attention_l1,20,1.0
1.0,0.0,100.0,5.58128981273679,100.0,13.209767984725449,512,1.0,attention_l1,20,1.0
1.0,0.0,100.0,5.1325402708317736,100.0,12.666271959021547,128,1.0,attention_l2,20,1.0
1.0,0.0,100.0,5.638912436713257,100.0,13.900833720208334,256,1.0,attention_l2,20,1.0
1.0,0.0,100.0,5.595719507480644,100.0,13.652461843526064,512,1.0,attention_l2,20,1.0
0.0,0.0,0.0,60.300036884386444,0.0,17.868824175957382,128,0.0,compactor,20,0.0
0.0,0.0,0.0,59.391171085086434,0.0,16.535184527743276,256,0.0,compactor,20,0.0
0.0,0.0,0.0,56.0440626317202,0.0,16.33529704592206,512,0.0,compactor,20,0.0
1.0,0.0,100.0,5.617713652610466,100.0,11.426944274284487,128,1.0,full,20,1.0
1.0,0.0,100.0,5.617713652610466,100.0,11.512418733845008,256,1.0,full,20,1.0
1.0,0.0,100.0,5.617713652610466,100.0,11.4398769747027,512,1.0,full,20,1.0
1.0,0.0,100.0,5.488959786321697,100.0,21.68826094770149,128,1.0,l1_leverage,20,1.0
1.0,0.0,100.0,5.882507942185651,100.0,21.493850998536626,256,1.0,l1_leverage,20,1.0
1.0,0.0,100.0,5.803283863675192,100.0,21.37614874535577,512,1.0,l1_leverage,20,1.0
1.0,0.0,100.0,5.488959786321697,100.0,21.803257608600543,128,1.0,l1_prefill_only,20,1.0
1.0,0.0,100.0,5.882507942185651,100.0,21.91991356544145,256,1.0,l1_prefill_only,20,1.0
1.0,0.0,100.0,5.803283863675192,100.0,21.374419304452264,512,1.0,l1_prefill_only,20,1.0
1.0,0.0,100.0,5.628115607930503,100.0,22.090836529516956,128,1.0,l2_key_prefill_only,20,1.0
1.0,0.0,100.0,5.794286262709584,100.0,21.76483388500157,256,1.0,l2_key_prefill_only,20,1.0
1.0,0.0,100.0,5.696596988555713,100.0,21.211649985338127,512,1.0,l2_key_prefill_only,20,1.0
1.0,0.0,100.0,5.539443603216628,100.0,22.14854688457756,128,1.0,l2_leverage,20,1.0
1.0,0.0,100.0,5.847370806732774,100.0,21.777093875379972,256,1.0,l2_leverage,20,1.0
1.0,0.0,100.0,5.730722182658675,100.0,21.157756288046354,512,1.0,l2_leverage,20,1.0
1.0,0.0,100.0,5.518659143707069,100.0,22.53005346545141,128,1.0,l2_prefill_only,20,1.0
1.0,0.0,100.0,5.847584955258857,100.0,22.11994090504414,256,1.0,l2_prefill_only,20,1.0
1.0,0.0,100.0,5.73099427510965,100.0,21.507639906389677,512,1.0,l2_prefill_only,20,1.0
0.0,0.0,0.0,30.823962358750396,0.0,11.62719025167379,128,0.0,pyramidkv,20,0.0
0.05,0.0,5.0,18.62467977233768,5.0,12.324218016565913,256,0.05,pyramidkv,20,0.05
0.35,0.0,35.0,8.901811555695371,35.0,12.540462491938015,512,0.35,pyramidkv,20,0.35
0.0,0.0,0.0,56.89404409369287,0.0,22.07260463882205,128,0.0,random,20,0.0
0.0,0.0,0.0,169.9628571682037,0.0,21.78471961344738,256,0.0,random,20,0.0
0.0,0.0,0.0,113.2969454682609,0.0,21.216982690375136,512,0.0,random,20,0.0
0.0,0.0,0.0,189.5080434737666,0.0,23.203631020690487,128,0.0,recency,20,0.0
0.0,0.0,0.0,206.08520719269208,0.0,23.597421560679912,256,0.0,recency,20,0.0
0.05,0.0,5.0,154.99354474262768,5.0,23.05566923613569,512,0.05,recency,20,0.05
0.0,0.0,0.0,188.6475788601886,0.0,23.2752533459008,128,0.0,sink_recent,20,0.0
0.0,0.0,0.0,194.43908125823634,0.0,23.23876255173752,256,0.0,sink_recent,20,0.0
0.05,0.0,5.0,149.009881893451,5.0,23.09206158137059,512,0.05,sink_recent,20,0.05
0.05,0.0,5.0,14.180080315782082,5.0,12.6181316394031,128,0.05,snapkv,20,0.05
0.35,0.0,35.0,7.55003044574575,35.0,12.603299183758448,256,0.35,snapkv,20,0.35
0.9,0.0,90.0,5.783650310780732,90.0,11.769328340431919,512,0.9,snapkv,20,0.9
