method,budget,sample_id,official_score,gt,first_number,leading_digit_match,gt_len,needle_token_count,needle_pattern,needle_prompt_start,needle_prompt_end,mean_layer_needle_recall,max_layer_needle_recall,full_recall_layer_fraction
full,128,0,100.0,7700828,7700828,7,7,7,7700828,8920,8926,1.0,1.0,1.0
full,128,1,100.0,9548432,9548432,7,7,7,9548432,12162,12168,1.0,1.0,1.0
full,128,2,100.0,2839607,2839607,7,7,7,2839607,3784,3790,1.0,1.0,1.0
full,128,3,100.0,8082668,8082668,7,7,7,8082668,14680,14686,1.0,1.0,1.0
full,128,4,100.0,7402509,7402509,7,7,7,7402509,14680,14686,1.0,1.0,1.0
full,128,5,100.0,5218028,5218028,7,7,7,5218028,13625,13631,1.0,1.0,1.0
full,128,6,100.0,2921859,2921859,7,7,7,2921859,13217,13223,1.0,1.0,1.0
full,128,7,100.0,6707197,6707197,7,7,7,6707197,2776,2782,1.0,1.0,1.0
full,128,8,100.0,3653446,3653446,7,7,7,3653446,11178,11184,1.0,1.0,1.0
full,128,9,100.0,5418934,5418934,7,7,7,5418934,12329,12335,1.0,1.0,1.0
full,128,10,100.0,2785277,2785277,7,7,7,2785277,15400,15406,1.0,1.0,1.0
full,128,11,100.0,9517169,9517169,7,7,7,9517169,14991,14997,1.0,1.0,1.0
full,128,12,100.0,7273233,7273233,7,7,7,7273233,4000,4006,1.0,1.0,1.0
full,128,13,100.0,6438436,6438436,7,7,7,6438436,12039,12045,1.0,1.0,1.0
full,128,14,100.0,7089806,7089806,7,7,7,7089806,7576,7582,1.0,1.0,1.0
full,128,15,100.0,5041154,5041154,7,7,7,5041154,13959,13965,1.0,1.0,1.0
full,128,16,100.0,9153566,9153566,7,7,7,9153566,1719,1725,1.0,1.0,1.0
full,128,17,100.0,8973915,8973915,7,7,7,8973915,13527,13533,1.0,1.0,1.0
full,128,18,100.0,9852897,9852897,7,7,7,9852897,14947,14953,1.0,1.0,1.0
full,128,19,100.0,4374754,4374754,7,7,7,4374754,7696,7702,1.0,1.0,1.0
random,128,0,0.0,7700828,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,7,7,7700828,8920,8926,0.0,0.0,0.0
random,128,1,0.0,9548432,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,7,7,9548432,12162,12168,0.00510204081632653,0.14285714285714285,0.0
random,128,2,0.0,2839607,,0,7,7,2839607,3784,3790,0.0,0.0,0.0
random,128,3,0.0,8082668,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,7,7,8082668,14680,14686,0.0,0.0,0.0
random,128,4,0.0,7402509,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,7,7,7402509,14680,14686,0.0,0.0,0.0
random,128,5,0.0,5218028,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0,7,7,5218028,13625,13631,0.0,0.0,0.0
random,128,6,0.0,2921859,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,7,7,2921859,13217,13223,0.00510204081632653,0.14285714285714285,0.0
random,128,7,0.0,6707197,,0,7,7,6707197,2776,2782,0.0,0.0,0.0
random,128,8,0.0,3653446,63333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,7,7,3653446,11178,11184,0.01020408163265306,0.14285714285714285,0.0
random,128,9,0.0,5418934,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0,7,7,5418934,12329,12335,0.01020408163265306,0.14285714285714285,0.0
random,128,10,0.0,2785277,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,7,7,2785277,15400,15406,0.0,0.0,0.0
random,128,11,0.0,9517169,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,7,7,9517169,14991,14997,0.00510204081632653,0.14285714285714285,0.0
random,128,12,0.0,7273233,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,7,7,7273233,4000,4006,0.0,0.0,0.0
random,128,13,0.0,6438436,1,0,7,7,6438436,12039,12045,0.00510204081632653,0.14285714285714285,0.0
random,128,14,0.0,7089806,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0,7,7,7089806,7576,7582,0.0,0.0,0.0
random,128,15,0.0,5041154,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,7,7,5041154,13959,13965,0.01020408163265306,0.14285714285714285,0.0
