method,budget,n,official_score,hits,ppl,tokens_per_second,total_time_s,final_kv_len
full,128,20,100.0,20,5.617713652610466,11.426944274284487,181.16032463519997,15806.75
random,128,20,0.0,0,56.89404409369287,22.07260463882205,176.93597331055017,128.0
recency,128,20,0.0,0,189.5080434737666,23.203631020690487,212.11574871245026,128.0
sink_recent,128,20,0.0,0,188.6475788601886,23.2752533459008,212.20261080835,128.0
attention,128,20,0.0,0,64.19925717828986,13.398301561808953,232.7528060208002,128.0
snapkv,128,20,5.0,1,14.180080315782082,12.6181316394031,379.3005067230006,256.0
compactor,128,20,0.0,0,60.300036884386444,17.868824175957382,357.3099602728997,389.55
pyramidkv,128,20,0.0,0,30.823962358750396,11.62719025167379,387.1259542062988,317.0
l2_prefill_only,128,20,100.0,20,5.518659143707069,22.53005346545141,179.4148883583013,128.0
l2_key_prefill_only,128,20,100.0,20,5.628115607930503,22.090836529516956,179.52264439164938,128.0
l2_leverage,128,20,100.0,20,5.539443603216628,22.14854688457756,182.09578868540046,128.0
l1_prefill_only,128,20,100.0,20,5.488959786321697,21.803257608600543,180.80131494585075,128.0
l1_leverage,128,20,100.0,20,5.488959786321697,21.68826094770149,181.33623693514892,128.0
attention_l2,128,20,100.0,20,5.1325402708317736,12.666271959021547,254.71507006244974,128.0
attention_l1,128,20,100.0,20,5.09010883975459,13.982128667655365,244.88605067514874,128.0
full,256,20,100.0,20,5.617713652610466,11.512418733845008,184.381093008248,15806.75
random,256,20,0.0,0,169.9628571682037,21.78471961344738,175.06823753125065,256.0
recency,256,20,0.0,0,206.08520719269208,23.597421560679912,206.52934382264866,256.0
sink_recent,256,20,0.0,0,194.43908125823634,23.23876255173752,216.1447005187518,256.0
attention,256,20,80.0,16,8.435986775478456,13.925827228415965,233.77325550629976,256.0
snapkv,256,20,35.0,7,7.55003044574575,12.603299183758448,477.56178346255183,384.0
compactor,256,20,0.0,0,59.391171085086434,16.535184527743276,495.14849703945146,810.75
pyramidkv,256,20,5.0,1,18.62467977233768,12.324218016565913,483.16853239794943,567.0
l2_prefill_only,256,20,100.0,20,5.847584955258857,22.11994090504414,180.05359254995057,256.0
l2_key_prefill_only,256,20,100.0,20,5.794286262709584,21.76483388500157,179.92818654785077,256.0
l2_leverage,256,20,100.0,20,5.847370806732774,21.777093875379972,182.79272316640126,256.0
l1_prefill_only,256,20,100.0,20,5.882507942185651,21.91991356544145,177.5438742480008,256.0
l1_leverage,256,20,100.0,20,5.882507942185651,21.493850998536626,180.30579569390102,256.0
attention_l2,256,20,100.0,20,5.638912436713257,13.900833720208334,249.6434469123473,256.0
attention_l1,256,20,100.0,20,5.591557412501476,13.167545186860867,247.0096767959476,256.0
full,512,20,100.0,20,5.617713652610466,11.4398769747027,182.92447567324706,15806.75
random,512,20,0.0,0,113.2969454682609,21.216982690375136,179.5612924604502,512.0
recency,512,20,5.0,1,154.99354474262768,23.05566923613569,212.1351807353989,512.0
sink_recent,512,20,5.0,1,149.009881893451,23.09206158137059,212.18101401265304,512.0
attention,512,20,100.0,20,5.569055687001999,12.676217249421345,233.54579349795094,512.0
snapkv,512,20,90.0,18,5.783650310780732,11.769328340431919,676.1829701397452,640.0
compactor,512,20,0.0,0,56.0440626317202,16.33529704592206,715.6461856729481,1493.05
pyramidkv,512,20,35.0,7,8.901811555695371,12.540462491938015,682.195629756208,1066.0
l2_prefill_only,512,20,100.0,20,5.73099427510965,21.507639906389677,181.3123075457479,512.0
l2_key_prefill_only,512,20,100.0,20,5.696596988555713,21.211649985338127,181.2551015042045,512.0
l2_leverage,512,20,100.0,20,5.730722182658675,21.157756288046354,188.42157312283962,512.0
l1_prefill_only,512,20,100.0,20,5.803283863675192,21.374419304452264,184.18556809589353,512.0
l1_leverage,512,20,100.0,20,5.803283863675192,21.37614874535577,183.00997046875128,512.0
attention_l2,512,20,100.0,20,5.595719507480644,13.652461843526064,257.05408095424934,512.0
attention_l1,512,20,100.0,20,5.58128981273679,13.209767984725449,248.00905878750055,512.0
