method,attention,attention_l1,attention_l2,compactor,full,l1_leverage,l1_prefill_only,l2_key_prefill_only,l2_leverage,l2_prefill_only,pyramidkv,random,recency,sink_recent,snapkv
attention,1.0,0.5261145195378762,0.639118304670577,0.13727743736470438,0.04768025282578102,0.3892358780575076,0.28145838415170243,0.34889197368849134,0.48410290243248144,0.3403447042886833,0.19150566693795693,0.07995485270554686,0.44334462617343023,0.44635431589451996,0.2528200552835074
attention_l1,0.5261145195378762,1.0,0.6915193838684525,0.1394623785362617,0.04972037501984732,0.7016141011462417,0.5265141808576425,0.46852416173833117,0.6224192238300323,0.5302553740874095,0.1794789740293459,0.08134081049409687,0.3098468891524326,0.31314377947721395,0.23051795726978674
attention_l2,0.639118304670577,0.6915193838684525,1.0,0.13014786458993358,0.041773828701385685,0.506106786201344,0.37820915742156486,0.44468338551249614,0.6754749279873171,0.5032056685159036,0.17725933756276274,0.07535310290220833,0.3907762753338171,0.39473774695786407,0.23577534161567748
compactor,0.13727743736470438,0.1394623785362617,0.13014786458993358,1.0,0.24331231335028972,0.15593816112967449,0.15202308130417722,0.136929546976579,0.14087353312676434,0.11460580699239611,0.21835472743986956,0.179800070578748,0.06341459850789535,0.06383229977019007,0.20847452650967918
full,0.04768025282578102,0.04972037501984732,0.041773828701385685,0.24331231335028972,1.0,0.061878938039006307,0.0673393496427303,0.06199183764889117,0.04954111673305525,0.04782152607777844,0.22289289769050066,0.2846970323627764,0.018893686921808053,0.018893686921808053,0.17900414883131302
l1_leverage,0.3892358780575076,0.7016141011462417,0.506106786201344,0.15593816112967449,0.061878938039006307,1.0,0.7658695558767648,0.4674262442989963,0.5775756271323639,0.5392361705795817,0.17207472591302186,0.09019970465273212,0.21756685884559676,0.220006018043904,0.21469417300197693
l1_prefill_only,0.28145838415170243,0.5265141808576425,0.37820915742156486,0.15202308130417722,0.0673393496427303,0.7658695558767648,1.0,0.5386813971569897,0.47512097566710076,0.5801831715081344,0.1553100612382586,0.07655077700604868,0.10657925170378328,0.11234330907095731,0.18881084427701603
l2_key_prefill_only,0.34889197368849134,0.46852416173833117,0.44468338551249614,0.136929546976579,0.06199183764889117,0.4674262442989963,0.5386813971569897,1.0,0.4974563927101561,0.580511048372859,0.1757309332379057,0.07223365496435326,0.16878954643443214,0.1752964469961821,0.2222853002754352
l2_leverage,0.48410290243248144,0.6224192238300323,0.6754749279873171,0.14087353312676434,0.04954111673305525,0.5775756271323639,0.47512097566710076,0.4974563927101561,1.0,0.6659721996845441,0.18030041866670563,0.08101739307961082,0.29006580692915684,0.29338536118965675,0.23660170623559468
l2_prefill_only,0.3403447042886833,0.5302553740874095,0.5032056685159036,0.11460580699239611,0.04782152607777844,0.5392361705795817,0.5801831715081344,0.580511048372859,0.6659721996845441,1.0,0.14415670149130863,0.061798626606218134,0.14113049581233253,0.14918279884799854,0.1859421177292462
pyramidkv,0.19150566693795693,0.1794789740293459,0.17725933756276274,0.21835472743986956,0.22289289769050066,0.17207472591302186,0.1553100612382586,0.1757309332379057,0.18030041866670563,0.14415670149130863,1.0,0.1777304902686946,0.09859203457073809,0.09859203457073809,0.6293345319263435
random,0.07995485270554686,0.08134081049409687,0.07535310290220833,0.179800070578748,0.2846970323627764,0.09019970465273212,0.07655077700604868,0.07223365496435326,0.08101739307961082,0.061798626606218134,0.1777304902686946,1.0,0.056803033747691314,0.05594148669295182,0.1596211270374516
recency,0.44334462617343023,0.3098468891524326,0.3907762753338171,0.06341459850789535,0.018893686921808053,0.21756685884559676,0.10657925170378328,0.16878954643443214,0.29006580692915684,0.14113049581233253,0.09859203457073809,0.056803033747691314,1.0,0.9643736108852399,0.1313009510287236
sink_recent,0.44635431589451996,0.31314377947721395,0.39473774695786407,0.06383229977019007,0.018893686921808053,0.220006018043904,0.11234330907095731,0.1752964469961821,0.29338536118965675,0.14918279884799854,0.09859203457073809,0.05594148669295182,0.9643736108852399,1.0,0.1313009510287236
snapkv,0.2528200552835074,0.23051795726978674,0.23577534161567748,0.20847452650967918,0.17900414883131302,0.21469417300197693,0.18881084427701603,0.2222853002754352,0.23660170623559468,0.1859421177292462,0.6293345319263435,0.1596211270374516,0.1313009510287236,0.1313009510287236,1.0
